player_id,name,date_of_birth,idade,position,sub_position,posicao_projeto,foot,height_in_cm,country_of_citizenship,current_club_name,market_value_in_eur,highest_market_value_in_eur,partidas_jogadas,minutos_jogados,gols,assistencias,cartoes,dados_completos
842370,João Victor,2004-04-27,22.0,Attack,Left Winger,Ponta,both,167.0,Brazil,Ceará Sporting Club,,,,,0,0,0,False
849582,Agustín Giay,2004-01-16,22.0,Defender,Right-Back,Lateral,right,180.0,Argentina,Sociedade Esportiva Palmeiras,10000000.0,11000000.0,,,0,0,0,False
851542,Luan Brito,2002-09-10,23.0,Attack,Centre-Forward,Centroavante,left,186.0,Brazil,Fluminense Football Club,,,,,0,0,0,False
851595,Jefté,2003-12-21,22.0,Defender,Left-Back,Lateral,left,183.0,Brazil,Sociedade Esportiva Palmeiras,4000000.0,4000000.0,,,0,0,0,False
856047,Mateo Ponte,2003-05-24,23.0,Defender,Right-Back,Lateral,right,183.0,Uruguay,S. A. F. Botafogo,2000000.0,2000000.0,,,0,0,0,False
869007,Renan Viana,2003-01-31,23.0,Attack,Centre-Forward,Centroavante,right,189.0,Brazil,Clube Atlético Paranaense,225000.0,300000.0,,,0,0,0,False
874223,Gustavo Martins,2002-08-11,23.0,Defender,Centre-Back,Zagueiro,right,191.0,Brazil,Grêmio Foot-Ball Porto Alegrense,4000000.0,4000000.0,,,1,0,5,False
875339,João Neto,2003-07-10,23.0,Attack,Centre-Forward,Centroavante,left,181.0,Brazil,Fluminense Football Club,,,,,1,0,0,False
879217,Kaiki,2003-03-08,23.0,Defender,Left-Back,Lateral,left,172.0,Brazil,Cruzeiro Esporte Clube,14000000.0,14000000.0,,,0,0,1,False
881645,Ignacio Sosa,2003-08-31,22.0,Midfield,Central Midfield,Meia,right,175.0,Uruguay,Red Bull Bragantino,5000000.0,5000000.0,,,0,0,0,False
884069,Gustavo Ramalho,2002-09-16,23.0,Goalkeeper,Goalkeeper,Goleiro,left,203.0,Brazil,Fluminense Football Club,,,,,0,0,0,False
887801,Nathan Mendes,2002-08-19,23.0,Defender,Right-Back,Lateral,right,182.0,Brazil,Esporte Clube Vitória,1500000.0,1500000.0,,,1,0,7,False
891353,Cuiabano,2003-02-16,23.0,Defender,Left-Back,Lateral,left,179.0,Brazil,Club de Regatas Vasco da Gama,10000000.0,10000000.0,,,0,0,0,False
895926,Joaquín Lavega,2005-02-03,21.0,Attack,Left Winger,Ponta,left,172.0,Uruguay,Coritiba Foot Ball Club,4000000.0,4000000.0,,,0,0,0,False
897051,Alan Minda,2003-05-14,23.0,Attack,Right Winger,Ponta,right,174.0,Ecuador,Clube Atlético Mineiro,3000000.0,6000000.0,,,0,0,0,False
898350,Facundo Bernal,2003-08-21,22.0,Midfield,Defensive Midfield,Volante,right,187.0,Uruguay,Fluminense Football Club,6000000.0,6000000.0,,,0,0,0,False
899026,Lacerda,2005-02-13,21.0,Goalkeeper,Goalkeeper,Goleiro,right,192.0,Brazil,Mirasol Futebol Clube,,,,,0,0,0,False
910216,Marcelo Ajul,2002-08-26,23.0,Defender,Centre-Back,Zagueiro,right,187.0,Brazil,Sport Club do Recife,,,,,0,0,0,False
918663,Lucas André,2003-01-29,23.0,Midfield,Central Midfield,Meia,right,178.0,Brazil,Sport Club do Recife,,,,,0,0,0,False
921863,Douglas Mendes,2004-06-13,22.0,Defender,Centre-Back,Zagueiro,right,189.0,Brazil,Red Bull Bragantino,,,,,0,0,0,False
929866,João Moreira,2004-05-21,22.0,Defender,Right-Back,Lateral,right,175.0,Brazil,São Paulo Futebol Clube,1000000.0,2500000.0,,,0,0,1,False
931007,Evertton Araújo,2003-02-28,23.0,Midfield,Defensive Midfield,Volante,right,184.0,Brazil,Clube de Regatas do Flamengo,10000000.0,10000000.0,,,0,0,0,False
943837,Vitor Roque,2005-02-28,21.0,Attack,Centre-Forward,Centroavante,right,174.0,Brazil,Sociedade Esportiva Palmeiras,38000000.0,40000000.0,,,17,0,12,False
950393,Viery,2005-01-02,21.0,Defender,Centre-Back,Zagueiro,left,187.0,Brazil,Grêmio Foot-Ball Porto Alegrense,6000000.0,6000000.0,,,0,0,0,False
957461,Andrés Gómez,2002-09-12,23.0,Attack,Left Winger,Ponta,right,170.0,Colombia,Club de Regatas Vasco da Gama,11000000.0,11000000.0,,,0,0,0,False
958598,Robert Renan,2003-10-11,22.0,Defender,Centre-Back,Zagueiro,left,186.0,Brazil,Club de Regatas Vasco da Gama,10000000.0,10000000.0,,,0,0,2,False
959088,Thiago Beltrame,2003-07-02,23.0,Goalkeeper,Goalkeeper,Goleiro,right,201.0,Brazil,Grêmio Foot-Ball Porto Alegrense,,,,,0,0,0,False
959092,Ronald,2003-02-11,23.0,Midfield,Defensive Midfield,Volante,right,186.0,Brazil,Grêmio Foot-Ball Porto Alegrense,,,,,0,0,0,False
959171,André Dhominique,2003-10-07,22.0,Defender,Right-Back,Lateral,right,178.0,Brazil,Esporte Clube Bahia,600000.0,800000.0,,,0,0,1,False
974488,Pedro Morisco,2004-01-10,22.0,Goalkeeper,Goalkeeper,Goleiro,right,191.0,Brazil,Coritiba Foot Ball Club,5000000.0,5000000.0,,,0,0,0,False
974652,Johan Rojas,2002-09-20,23.0,Midfield,Attacking Midfield,Meia,right,175.0,Colombia,Club de Regatas Vasco da Gama,3800000.0,4000000.0,,,0,0,0,False
976951,Jardiel,2005-03-21,21.0,Attack,Centre-Forward,Centroavante,right,186.0,Brazil,Grêmio Foot-Ball Porto Alegrense,,,,,0,0,0,False
977463,Rodriguinho,2003-06-05,23.0,Attack,Left Winger,Ponta,left,170.0,Brazil,Cruzeiro Esporte Clube,,,,,0,0,0,False
978039,Marcos Paulo,2003-01-18,23.0,Defender,Centre-Back,Zagueiro,left,183.0,Brazil,Esporte Clube Juventude,,,,,0,0,0,False
978057,Petterson,2004-01-04,22.0,Attack,Centre-Forward,Centroavante,right,181.0,Brazil,Esporte Clube Juventude,700000.0,750000.0,,,0,0,0,False
979931,Gabriel Souza,2002-12-25,23.0,Defender,Right-Back,Lateral,right,182.0,Brazil,Esporte Clube Juventude,,,,,0,0,0,False
980806,Lucas Mila,2003-01-28,23.0,Midfield,Defensive Midfield,Volante,right,176.0,Brazil,Grêmio Foot-Ball Porto Alegrense,,,,,0,0,0,False
980823,Kayque,2004-04-20,22.0,Defender,Right-Back,Lateral,right,178.0,Brazil,Clube Atlético Mineiro,,,,,1,0,5,False
980825,Matheus Belém,2003-03-13,23.0,Defender,Centre-Back,Zagueiro,left,186.0,Brazil,São Paulo Futebol Clube,800000.0,800000.0,,,0,0,1,False
980837,Felipe Negrucci,2004-05-14,22.0,Midfield,Defensive Midfield,Volante,right,180.0,Brazil,São Paulo Futebol Clube,1000000.0,1000000.0,,,0,0,0,False
980854,Ythallo,2004-07-22,21.0,Defender,Centre-Back,Zagueiro,right,193.0,Brazil,S. A. F. Botafogo,300000.0,300000.0,,,0,0,0,False
982549,Lucca,2003-04-02,23.0,Attack,Centre-Forward,Centroavante,right,180.0,Brazil,Sport Club Internacional,,,,,0,0,0,False
984480,Mateo Sanabria,2004-03-31,22.0,Attack,Left Winger,Ponta,right,178.0,Argentina,Esporte Clube Bahia,2000000.0,2000000.0,,,0,0,0,False
985351,Renato Marques,2003-12-09,22.0,Attack,Centre-Forward,Centroavante,right,180.0,Brazil,Coritiba Foot Ball Club,1000000.0,1000000.0,,,3,0,2,False
989925,Brahian Palacios,2002-11-24,23.0,Attack,Right Winger,Ponta,left,182.0,Colombia,Clube Atlético Mineiro,,,,,0,0,0,False
994029,Bernardo,2005-03-11,21.0,Defender,Centre-Back,Zagueiro,right,187.0,Brazil,Esporte Clube Juventude,,,,,0,0,0,False
994229,Gabriel Souza,2004-08-03,21.0,Goalkeeper,Goalkeeper,Goleiro,right,194.0,Brazil,Esporte Clube Bahia,200000.0,200000.0,,,0,0,0,False
994622,Cipriano,2002-11-09,23.0,Defender,Centre-Back,Zagueiro,left,197.0,Brazil,Esporte Clube Juventude,,,,,0,0,1,False
995883,Gabriel,2003-10-18,22.0,Defender,Centre-Back,Zagueiro,right,185.0,Brazil,Mirasol Futebol Clube,,,,,0,0,0,False
996691,Kawan,2003-04-10,23.0,Defender,Centre-Back,Zagueiro,right,188.0,Brazil,S. A. F. Botafogo,,,,,0,0,1,False
997465,Rubens,2003-03-28,23.0,Attack,Right Winger,Ponta,left,178.0,Brazil,Associação Chapecoense de Futebol,250000.0,250000.0,,,2,0,8,False
997714,Alexsander,2003-10-08,22.0,Midfield,Defensive Midfield,Volante,left,178.0,Brazil,Clube Atlético Mineiro,5500000.0,8000000.0,,,0,0,3,False
997947,Otávio Costa,2005-12-27,20.0,Goalkeeper,Goalkeeper,Goleiro,right,192.0,Brazil,Cruzeiro Esporte Clube,500000.0,500000.0,,,0,0,0,False
1004722,César Rodrigues,2006-01-07,20.0,Goalkeeper,Goalkeeper,Goleiro,right,192.0,Brazil,Sociedade Esportiva Palmeiras,,,,,0,0,0,False
1004724,Bernardo Valim,2006-01-30,20.0,Midfield,Attacking Midfield,Meia,right,186.0,Brazil,S. A. F. Botafogo,,,,,0,0,0,False
1004726,Lucas Camilo,2006-05-25,20.0,Midfield,Defensive Midfield,Volante,right,183.0,Brazil,S. A. F. Botafogo,,,,,0,0,0,False
