player_id,name,date_of_birth,idade,position,sub_position,foot,height_in_cm,country_of_citizenship,current_club_name,market_value_in_eur,highest_market_value_in_eur,partidas_jogadas,minutos_jogados,gols,assistencias,posicao_projeto,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY_x,Performance_CrdR_x,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,Performance_CrdY_y,Performance_CrdR_y,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG
1131161,Robinio Vaz,2007-02-17,19.0,Attack,Centre-Forward,right,185.0,France,Associazione Sportiva Roma,18000000.0,18000000.0,12,205,1,0,Centroavante,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1134304,Joseph Liteta,2006-02-22,20.0,Midfield,Central Midfield,right,175.0,Zambia,Cagliari Calcio,3500000.0,3500000.0,4,266,0,0,Meia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1159022,Mateus Lusuardi,2004-01-08,22.0,Defender,Centre-Back,left,190.0,Brazil,Frosinone Calcio,300000.0,300000.0,4,220,0,0,Zagueiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1159864,Mariano Troilo,2003-06-28,23.0,Defender,Centre-Back,both,194.0,Argentina,Parma Calcio 1913,10000000.0,10000000.0,21,1628,1,0,Zagueiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1178488,Idrissa Gueye,2006-09-16,19.0,Attack,Centre-Forward,right,185.0,Senegal,Udinese Calcio,8000000.0,8000000.0,19,405,1,0,Centroavante,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1190411,Jesús Rodríguez,2005-11-21,20.0,Attack,Left Winger,right,185.0,Spain,Calcio Como,30000000.0,30000000.0,31,1735,2,9,Ponta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1191520,Nils Zätterström,2005-03-29,21.0,Defender,Centre-Back,left,192.0,Sweden,Genoa Cricket and Football Club,3500000.0,3500000.0,3,181,0,0,Zagueiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1228231,Juan Rodríguez,2005-05-30,21.0,Defender,Centre-Back,left,190.0,Uruguay,Cagliari Calcio,10000000.0,10000000.0,17,1314,1,0,Zagueiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1315458,Fallou Cham,2006-02-14,20.0,Defender,Right-Back,right,185.0,The Gambia,Verona Hellas Football Club,1000000.0,1000000.0,6,227,0,0,Lateral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1371793,Paul Mendy,2007-01-13,19.0,Attack,Centre-Forward,left,,Senegal,Cagliari Calcio,7000000.0,7000000.0,9,330,2,0,Centroavante,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
