player_id,name,date_of_birth,idade,position,sub_position,foot,height_in_cm,country_of_citizenship,current_club_name,market_value_in_eur,highest_market_value_in_eur,partidas_jogadas,minutos_jogados,gols,assistencias,posicao_projeto,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY_x,Performance_CrdR_x,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,Performance_CrdY_y,Performance_CrdR_y,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG
931160,Djaoui Cissé,2004-01-31,22.0,Midfield,Central Midfield,right,188.0,France,Stade Rennais Football Club,10000000.0,15000000.0,40,2115,1,0,Meia,Djaoui Cissé,FRA,MF,21,2004,24,12,981,10.9,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0,24,6,25.0,2.2,0.55,0.0,0.0,0,0,3,0,0,18,10,0,27,5,22,,,0
933900,Samuel Amo-Ameyaw,2006-07-18,19.0,Attack,Right Winger,left,174.0,England,Racing Club de Strasbourg Alsace,8000000.0,8000000.0,34,1358,4,2,Ponta,Samuel Amo-Ameyaw,ENG,"MF,DF",19,2006,25,9,1047,11.6,2,2,4,2,0,0,2,0,0.17,0.17,0.34,0.17,0.34,2,17,5,29.4,1.46,0.43,0.12,0.4,0,0,2,0,0,15,26,2,50,3,12,,,0
944355,Mathieu Acapandié,2004-12-14,21.0,Defender,Right-Back,right,182.0,Madagascar,Football Club de Nantes,700000.0,700000.0,6,259,0,0,Lateral,Mathieu Acapandié,MAD,"DF,MF",20,2004,6,2,261,2.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,,0.0,0.0,,,0,0,0,0,0,3,0,0,11,3,1,,,0
947360,Kassoum Ouattara,2004-10-14,21.0,Defender,Left-Back,left,184.0,France,Association sportive de Monaco Football Club,12000000.0,12000000.0,41,1994,1,4,Lateral,Kassoum Ouattara,FRA,"MF,DF",20,2004,15,12,967,10.7,0,3,3,0,0,0,3,0,0.0,0.28,0.28,0.0,0.28,0,12,0,0.0,1.12,0.0,0.0,,0,0,3,0,0,22,10,1,50,19,19,,,0
949113,Pape Demba Diop,2003-09-04,22.0,Midfield,Central Midfield,right,182.0,Senegal,Toulouse Football Club,9000000.0,9000000.0,15,1187,1,2,Meia,Pape Demba Diop,SEN,MF,21,2003,15,13,1181,13.1,1,2,3,1,0,0,2,0,0.08,0.15,0.23,0.08,0.23,1,29,11,37.9,2.21,0.84,0.03,0.09,0,0,2,0,0,15,17,0,14,29,20,,,0
952282,Afonso Moreira,2005-03-19,21.0,Attack,Left Winger,right,176.0,Portugal,Olympique Lyonnais,20000000.0,20000000.0,27,1719,4,8,Ponta,Afonso Moreira,POR,"MF,FW",20,2005,27,18,1722,19.1,4,7,11,4,0,0,3,0,0.21,0.37,0.57,0.21,0.57,4,40,14,35.0,2.09,0.73,0.1,0.29,0,0,3,0,0,27,57,4,119,12,22,,,0
955070,Ernest Nuamah,2003-11-01,22.0,Attack,Right Winger,left,178.0,Ghana,Olympique Lyonnais,10000000.0,20000000.0,55,2939,6,3,Ponta,Ernest Nuamah,GHA,"FW,MF",21,2003,3,0,35,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,2,0,0.0,5.14,0.0,0.0,,0,0,0,0,0,0,0,0,2,0,0,,,0
955281,Nhoa Sangui,2006-02-27,20.0,Defender,Left-Back,left,178.0,France,Paris Football Club,10000000.0,10000000.0,52,2882,0,2,Lateral,Nhoa Sangui,FRA,DF,19,2006,26,18,1737,19.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,4,1,25.0,0.21,0.05,0.0,0.0,0,0,0,0,0,5,17,2,37,21,14,,,0
962555,Abakar Sylla,2002-12-25,23.0,Defender,Centre-Back,left,188.0,Cote d'Ivoire,Football Club de Nantes,2500000.0,15000000.0,46,2802,3,0,Zagueiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
969447,Dermane Karim,2003-12-26,22.0,Midfield,Attacking Midfield,right,178.0,Togo,Football Club Lorient-Bretagne Sud,2500000.0,3500000.0,30,1361,1,2,Meia,Dermane Karim,TOG,MF,21,2003,30,15,1365,15.2,1,2,3,1,0,0,3,0,0.07,0.13,0.2,0.07,0.2,1,16,2,12.5,1.05,0.13,0.06,0.5,0,0,3,0,0,21,39,0,17,10,17,,,0
970279,Jacques Ekomié,2003-08-19,22.0,Defender,Left-Back,left,179.0,Gabon,Angers Sporting Club de l'Ouest,9000000.0,9000000.0,50,2935,0,0,Lateral,Jacques Ekomie,GAB,"DF,MF",21,2003,32,25,2239,24.9,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0,12,3,25.0,0.48,0.12,0.0,0.0,0,0,3,0,0,30,31,6,65,31,32,,,0
970364,Yaël Mouanga,2005-07-23,20.0,Defender,Centre-Back,right,183.0,France,Montpellier HSC,,,14,946,0,0,Zagueiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
971570,Endrick,2006-07-21,19.0,Attack,Centre-Forward,left,172.0,Brazil,Olympique Lyonnais,40000000.0,60000000.0,16,1224,5,7,Centroavante,Endrick,BRA,"FW,MF",19,2006,16,14,1215,13.5,5,7,12,4,1,1,4,1,0.37,0.52,0.89,0.3,0.81,5,50,26,52.0,3.7,1.93,0.08,0.15,1,1,4,1,0,21,21,4,52,2,9,,,0
975347,Aladji Bamba,2006-07-14,19.0,Midfield,Defensive Midfield,right,181.0,France,Association sportive de Monaco Football Club,18000000.0,18000000.0,18,815,0,2,Volante,Aladji Bamba,FRA,MF,19,2006,18,10,816,9.1,0,2,2,0,0,0,2,0,0.0,0.22,0.22,0.0,0.22,0,2,1,50.0,0.22,0.11,0.0,0.0,0,0,2,0,0,23,18,0,4,8,20,,,0
979551,Pathé Mboup,2003-10-19,22.0,Attack,Left Winger,right,175.0,Senegal,Stade brestois 29,2500000.0,3000000.0,28,1048,1,0,Ponta,Pathé Mboup,SEN,MF,21,2003,28,9,1054,11.7,1,0,1,1,0,0,6,0,0.09,0.0,0.09,0.09,0.09,1,23,10,43.5,1.96,0.85,0.04,0.1,0,0,6,0,0,34,19,5,11,12,18,,,0
