player_id,name,date_of_birth,idade,position,sub_position,foot,height_in_cm,country_of_citizenship,current_club_name,market_value_in_eur,highest_market_value_in_eur,partidas_jogadas,minutos_jogados,gols,assistencias,posicao_projeto
1077670,Axel Tape,2007-08-10,18.0,Defender,Centre-Back,right,180.0,France,Bayer 04 Leverkusen Fußball,8000000.0,8000000.0,6,221,0,0,Zagueiro
1084638,Karim Coulibaly,2007-05-23,19.0,Defender,Centre-Back,left,191.0,Germany,Sportverein Werder Bremen von 1899,28000000.0,28000000.0,27,2122,1,0,Zagueiro
1114155,Patrice Covic,2007-06-25,19.0,Midfield,Attacking Midfield,right,182.0,Croatia,Sportverein Werder Bremen von 1899,4000000.0,4000000.0,15,341,1,0,Meia
1144627,Kento Shiogai,2005-03-26,21.0,Attack,Centre-Forward,right,180.0,Japan,Verein für Leibesübungen Wolfsburg,8000000.0,8000000.0,12,313,1,0,Centroavante
1145064,Cyriaque Irié,2005-06-20,21.0,Attack,Right Winger,left,185.0,Burkina Faso,Sport-Club Freiburg,8000000.0,8000000.0,10,343,0,0,Ponta
1168219,Said El Mala,2006-08-26,19.0,Attack,Left Winger,both,187.0,Germany,1. Fußball-Club Köln,45000000.0,45000000.0,34,1958,13,5,Ponta
1213681,Alexander Røssing-Lelesiit,2007-01-20,19.0,Attack,Left Winger,right,184.0,Norway,Hamburger Sport Verein,5000000.0,5000000.0,11,320,0,1,Ponta
1280281,Abdoulie Ceesay,2004-01-05,22.0,Attack,Centre-Forward,,185.0,The Gambia,Fußball-Club St. Pauli von 1910,1000000.0,1000000.0,27,373,3,1,Centroavante
1364454,Christian Kofane,2006-07-26,19.0,Attack,Centre-Forward,right,189.0,Cameroon,Bayer 04 Leverkusen Fußball,40000000.0,40000000.0,28,1157,5,4,Centroavante
1390649,Yan Diomande,2006-11-14,19.0,Attack,Left Winger,right,180.0,Cote d'Ivoire,RasenBallsport Leipzig,90000000.0,90000000.0,33,2483,12,9,Ponta
